player_id,max_market_value,player_name,age,position,minutes_played,goals,assists,yellow_cards,red_cards,club_name,domestic_competition_id,image_url,cluster,cluster_name
652275,9000000.0,Hákon Arnar Haraldsson,21.0,Midfield,1388,2,0,5,0,Lille Olympique Sporting Club,FR1,https://img.a.transfermarkt.technology/portrait/header/652275-1662491592.jpg?lm=1,Mid_0,Midfield Apprentices
652330,300000.0,Álvaro Carrillo,22.0,Defender,90,0,0,0,0,Real Madrid Club De Fútbol,ES1,https://img.a.transfermarkt.technology/portrait/header/652330-1706032083.jpg?lm=1,Def_1,Young Defenders
652331,250000.0,Javi Rueda,22.0,Defender,19,0,0,0,0,Real Club Celta De Vigo S. A. D.,ES1,https://img.a.transfermarkt.technology/portrait/header/652331-1666984775.jpg?lm=1,Def_1,Young Defenders
652332,500000.0,Óscar Aranda,22.0,Attack,712,1,0,2,0,Futebol Clube De Famalicão,PO1,https://img.a.transfermarkt.technology/portrait/header/652332-1742552942.jpg?lm=1,Att_1,Promising Prospects
652426,1875000.0,Yusuf Özdemir,23.0,Defender,2475,2,4,7,0,Alanyaspor,TR1,https://img.a.transfermarkt.technology/portrait/header/652426-1724671565.jpg?lm=1,Def_2,In there Prime
652459,200000.0,Pavel Popov,21.0,Attack,10,0,0,0,0,Pfk Krylya Sovetov Samara,RU1,https://img.a.transfermarkt.technology/portrait/header/652459-1722144828.png?lm=1,Att_1,Promising Prospects
652537,3666666.6666666665,Gue-Sung Cho,26.0,Attack,2203,11,2,5,0,Fodbold Club Midtjylland,DK1,https://img.a.transfermarkt.technology/portrait/header/652537-1669656974.jpg?lm=1,Att_0,Breakthrough Ballers
652633,450000.0,Lewis Neilson,21.0,Defender,300,0,1,0,0,Partick Thistle Fc,SC1,https://img.a.transfermarkt.technology/portrait/header/652633-1622032603.jpg?lm=1,Def_1,Young Defenders
652797,1150000.0,Micah Hamilton,20.0,Attack,120,1,1,0,0,Manchester City Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/652797-1698352662.jpg?lm=1,Att_1,Promising Prospects
652803,2000000.0,Pierre Dwomoh,20.0,Midfield,2290,1,1,6,0,Rwd Molenbeek,BE1,https://img.a.transfermarkt.technology/portrait/header/652803-1709884161.png?lm=1,Mid_0,Midfield Apprentices
652979,500000.0,Lewis Warrington,21.0,Midfield,1,0,0,0,0,Everton Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/652979-1713863030.jpg?lm=1,Mid_0,Midfield Apprentices
652996,900000.0,Said Hamulic,23.0,Attack,805,0,1,2,0,Vitesse Arnhem,NL1,https://img.a.transfermarkt.technology/portrait/header/652996-1706692388.png?lm=1,Att_1,Promising Prospects
653415,2500000.0,Leonardo Buta,22.0,Defender,2205,0,3,3,0,Gil Vicente Futebol Clube,PO1,https://img.a.transfermarkt.technology/portrait/header/653415-1710239705.jpg?lm=1,Def_2,In there Prime
653610,14000000.0,Igor Paixão,24.0,Attack,2929,12,4,3,0,Feyenoord Rotterdam,NL1,https://img.a.transfermarkt.technology/portrait/header/653610-1723200804.jpg?lm=1,Att_0,Breakthrough Ballers
654099,566666.6666666666,Diogo Nascimento,21.0,Midfield,2174,0,1,4,0,Fc Vizela,PO1,https://img.a.transfermarkt.technology/portrait/header/654099-1675869176.jpg?lm=1,Mid_0,Midfield Apprentices
654117,950000.0,Tamerlan Musaev,22.0,Attack,1396,4,2,3,0,Baltika Kaliningrad,RU1,https://img.a.transfermarkt.technology/portrait/header/654117-1721915620.png?lm=1,Att_1,Promising Prospects
654415,3500000.0,Alan Virginius,21.0,Attack,71,0,0,0,0,Lille Olympique Sporting Club,FR1,https://img.a.transfermarkt.technology/portrait/header/654415-1666690903.jpg?lm=1,Att_1,Promising Prospects
654539,18000000.0,Adrien Truffert,22.0,Defender,2709,2,3,8,0,Stade Rennais Football Club,FR1,https://img.a.transfermarkt.technology/portrait/header/654539-1616684807.jpg?lm=1,Def_2,In there Prime
654949,275000.0,Sekou Diawara,20.0,Attack,31,0,0,0,0,Udinese Calcio,IT1,https://img.a.transfermarkt.technology/portrait/header/654949-1626686273.jpg?lm=1,Att_1,Promising Prospects
654982,23750000.0,Bilal El Khannouss,20.0,Midfield,2685,3,6,4,0,Koninklijke Racing Club Genk,BE1,https://img.a.transfermarkt.technology/portrait/header/654982-1714038053.png?lm=1,Mid_1,Reliable Engines
654986,500000.0,Bram Lagae,20.0,Defender,138,0,1,0,0,Koninklijke Atletiek Associatie Gent,BE1,https://img.a.transfermarkt.technology/portrait/header/654986-1660760595.jpg?lm=1,Def_1,Young Defenders
655006,3000000.0,Diego Moreira,19.0,Attack,45,0,0,0,0,Chelsea Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/655006-1732575837.png?lm=1,Att_1,Promising Prospects
655009,1566666.6666666667,Richie Sagrado,20.0,Defender,1709,2,1,3,1,Oud-Heverlee Leuven,BE1,https://img.a.transfermarkt.technology/portrait/header/655009-1713279208.png?lm=1,Def_1,Young Defenders
655012,2000000.0,Lucas Stassin,19.0,Attack,860,6,1,2,0,Koninklijke Voetbal Club Westerlo,BE1,https://img.a.transfermarkt.technology/portrait/header/655012-1727721924.jpg?lm=1,Att_1,Promising Prospects
655139,300000.0,Nathan Moriah-Welsh,22.0,Midfield,687,0,0,2,1,Hibernian Football Club,SC1,https://img.a.transfermarkt.technology/portrait/header/655139-1732644653.jpg?lm=1,Mid_0,Midfield Apprentices
655456,2933333.333333333,Saba Sazonov,21.0,Defender,175,0,0,0,0,Fk Dinamo Moskva,RU1,https://img.a.transfermarkt.technology/portrait/header/655456-1695386095.jpg?lm=1,Def_1,Young Defenders
655461,175000.0,Nikita Yanovich,21.0,Goalkeeper,360,0,0,0,0,Fc Rubin Kazan,RU1,https://img.a.transfermarkt.technology/portrait/header/655461-1690291904.png?lm=1,,
655488,78333333.33333333,Gabriel Martinelli,23.0,Attack,2640,8,5,1,0,Arsenal Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/655488-1682689091.jpg?lm=1,Att_2,Elite Finishers
655626,200000.0,Alexandros Lolis,21.0,Attack,50,0,0,1,0,Pas Giannina,GR1,https://img.a.transfermarkt.technology/portrait/header/655626-1694127360.jpg?lm=1,Att_1,Promising Prospects
655678,483333.3333333333,Franco Baldassarra,25.0,Midfield,1167,1,0,3,0,Panetolikos Agrinio,GR1,https://img.a.transfermarkt.technology/portrait/header/655678-1724877385.jpg?lm=1,Mid_0,Midfield Apprentices
655893,2200000.0,Ravil Tagir,21.0,Defender,977,1,1,2,0,Koninklijke Voetbal Club Westerlo,BE1,https://img.a.transfermarkt.technology/portrait/header/655893-1705504963.jpg?lm=1,Def_1,Young Defenders
655894,168750.0,Yiğit Emre Çeltik,21.0,Midfield,1,0,0,0,0,Kayserispor Kulübü,TR1,https://img.a.transfermarkt.technology/portrait/header/655894-1696332519.png?lm=1,Mid_0,Midfield Apprentices
655895,1025000.0,Bartuğ Elmaz,20.0,Midfield,44,0,0,1,0,Fenerbahçe Spor Kulübü,TR1,https://img.a.transfermarkt.technology/portrait/header/655895-1706882832.png?lm=1,Mid_0,Midfield Apprentices
