player_name,transfer_fee,market_value_in_eur,days_since_last_transfer,num_transfers
Ahmet Yıldırım,0.0,0.0,337.0,4
Ahmet Yılmaz,0.0,0.0,1057.5,3
Ahmetcan Kaplan,9500000.0,580000.0,377.5,5
Aias Aosman,0.0,461666.6666666667,379.07142857142856,15
Aidan Denholm,0.0,55555.555555555555,251.75,9
Aidan Francis-Clarke,0.0,0.0,204.28571428571428,8
Aidan Glavin,0.0,0.0,103.83333333333333,7
Aidan Harris,0.0,100000.0,731.0,2
Aiden Gilmartin,0.0,0.0,116.66666666666667,7
Aiden O'Neill,0.0,322727.2727272727,255.6,11
Aiham Ousou,2400000.0,946666.6666666666,209.14285714285714,15
Aihen Muñoz,0.0,2500000.0,547.5,3
Aimar Oroz,0.0,133333.33333333334,730.5,3
Aimé Omgba,1000000.0,214285.7142857143,741.3333333333334,7
Aingeru Olabarrieta,0.0,0.0,365.0,3
Ainsley Maitland-Niles,0.0,7795454.545454546,332.4,11
Aitor Cantalapiedra,0.0,195454.54545454544,511.4,11
Aitor Fernández,1200000.0,377777.77777777775,685.0,9
Aitor Fraga,0.0,40000.0,456.75,5
Aitor Gismera,0.0,0.0,365.0,3
Aitor Paredes,0.0,50000.0,730.3333333333334,4
Aitor Ruibal,20000.0,635000.0,286.22222222222223,10
Aiyegun Tosin,4450000.0,1150000.0,1167.5,3
Ajdi Dajko,200000.0,75000.0,367.6,6
Ajdin Hrustić,1500000.0,505000.0,527.5555555555555,10
Ajdin Redzic,0.0,159375.0,487.85714285714283,8
Akil Wright,0.0,18181.81818181818,341.3,11
Akim Zedadka,0.0,1208333.3333333333,332.0,12
Akor Adams,10000000.0,2250000.0,471.4,6
Aksel Aktaş,0.0,190909.0909090909,292.1,11
Akwasi Owusu,0.0,0.0,149.0,2
Alaa Bellaarouch,0.0,125000.0,333.3333333333333,4
Alaa Ghram,2000000.0,750000.0,2008.0,2
Alaaddin Okumuş,0.0,239285.7142857143,276.15384615384613,14
Alama Bayo,0.0,100000.0,974.0,4
Alamara Djabi,0.0,0.0,564.0,3
Alan,0.0,304166.6666666667,315.27272727272725,12
Alan Dzagoev,400000.0,600000.0,1306.6,6
Alan Forrest,0.0,333333.3333333333,1643.5,3
Alan Gobetti,0.0,0.0,137.25,5
Alan Matturro,3000000.0,850000.0,543.0,2
Alan Minda,2000000.0,140000.0,322.0,5
Alan Ruiz,4840000.0,1639705.8823529412,310.0,17
Alan Varela,8000000.0,3000000.0,936.0,3
Alan Virginius,4000000.0,1500000.0,438.2,6
Alasana Manneh,600000.0,318181.8181818182,313.3,11
Alassana Jatta,250000.0,166666.66666666666,928.5,3
Alassane Ndao,3225000.0,2133333.3333333335,295.4,6
Alassane Pléa,23500000.0,3416666.6666666665,513.8,6
Alban Lafont,15500000.0,11000000.0,548.0,5
Alberk Koç,122000.0,131250.0,618.7142857142857,8
Albert Gabaraev,80000.0,114285.71428571429,209.92307692307693,14
Albert Grønbaek,19800000.0,6750000.0,511.2,6
Albert Gudmundsson,3300000.0,8321428.571428572,719.3333333333334,7
